,BOTTOM,COBWEB,DEMETRIUS,EGEUS,FAIRY,FLUTE,HELENA,HERMIA,HIPPOLYTA,LYSANDER,MOTE,MUSTARDSEED,OBERON,PEASEBLOSSOM,PHILOSTRATE,QUINCE,ROBIN,SNOUT,SNUG,THESEUS,TITANIA
BOTTOM,,2.0,2.0,,,7.0,,,1.0,1.0,,4.0,,2.0,,23.0,1.0,6.0,,2.0,7.0
COBWEB,2.0,,,,,,,,,,,,,2.0,,,,,,,
DEMETRIUS,1.0,,,1.0,,,9.0,6.0,1.0,12.0,,,1.0,,,,5.0,,1.0,11.0,
EGEUS,,,,,,,,,,2.0,,,,,,,,,,5.0,
FAIRY,,,,,2.0,,,,,,,,,,,,3.0,,,,1.0
FLUTE,6.0,,2.0,,,,,,,,,,,,,8.0,1.0,,1.0,,
HELENA,,,11.0,,,,,17.0,,7.0,,,,,,,1.0,,,,
HERMIA,,,10.0,,,,14.0,,,19.0,,,,,,,1.0,,,4.0,
HIPPOLYTA,,,2.0,,,,,,,1.0,,,,,,,,,,10.0,
LYSANDER,,,11.0,2.0,,,10.0,17.0,,,,,1.0,,,,4.0,,,5.0,
MOTE,,2.0,,,,,,,,,,,,,,,,,,,
MUSTARDSEED,3.0,,,,,,,,,,2.0,,,,,,,,,,
OBERON,,,1.0,,2.0,,1.0,1.0,,,,,,,,,12.0,,,,10.0
PEASEBLOSSOM,2.0,,,,,,,,,,,,,,,,,,,,2.0
PHILOSTRATE,,,,,,,,,,,,,,,,,,,,5.0,
QUINCE,25.0,,,,,7.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,
ROBIN,1.0,,3.0,,2.0,,1.0,2.0,,3.0,,,16.0,,,2.0,,,,1.0,1.0
SNOUT,4.0,,1.0,,,1.0,,,,,,,,,,3.0,,,,,
SNUG,,,,,,2.0,,,,,,,,,,1.0,,,,1.0,
THESEUS,3.0,,5.0,4.0,,1.0,,4.0,12.0,5.0,,,,,6.0,1.0,,2.0,1.0,3.0,1.0
TITANIA,9.0,,,,,,,,,,,1.0,11.0,,,,,,,,
